character_mal_id,nickname
276930,Beast Lord
276912,The Mage Killer
276904,Petit Lotti
276904,Petit Lodge
276845,Snake Spirit
276841,Yue'er
276836,Touch
276818,Elf GM Sniper Custom
276804,The Fried's Strom Dragon
276804,Emperor of the Golden Sword
276741,Lightning Rod
276716,Cure Noble
276676,Gretchen
276670,Thyme
276622,Producer
276570,Otto-Man
276531,Li Jia Xiang
276526,The Hero
276524,Miracle Child
276520,Sage
276513,Dean Rush
276512,Grotley Bogwash
276501,Koko
276501,Cao Cao
276501,Koko
276501,Cao Cao
276493,Gura-san
276469,Maxi
276465,Shingetsu
276427,Grim Reaper Bostalk
276408,Castform
276407,Bisharp
276350,Idys
276342,Cheri
276331,Cassandra
276297,Korekiyo Bodhisattva
276291,Mikoto
276200,Uglyhood
276141,Larvitar
276137,Ian
276129,Zero
276127,Marco
276085,Rii-chan
276053,月子
276018,Moon Rider
275910,Xue Rong Rong
275893,Mrs. Hans Charles Grimm
275883,King
275883,King
275846,Yan Jing
275840,Takagi Ryou
275835,Eldest Brother
275835,Eldest Brother
275726,Professor
275710,Kirikizan's Manager
275678,Demon
275678,The Virgin Killer
275670,The Great Demon Lord
275632,St. Killingham
275613,Harper Evans
275536,Nine-Headed Lion
275535,Destin Billows
275532,Rokuemon Ishida
275515,Silver Sheller
275451,Watson
275450,Holmes
275425,Bag Man
275356,St. Sommers
275337,Alterisha
275291,Masamin
275273,Torakage
275231,Spider Man
275212,Cyd
275193,Maria Rivera
275188,Takkun
275182,Taiga Akabane
275153,Laurentius the Free
275147,Carolina Sanchez
275136,Barren Blossom
275135,Ominous Bird
275132,The Grosbeak
275131,The Scops Owl
275129,Gera
275129,The Pygmy Woodpecker
275129,Pygmy Food Puker
275128,Usami
275128,The Horned Owl
275127,Ena
275127,The Long-Tailed Tit
275123,The Hawfinch
275122,Muku
275122,The Starling
275121,Hayami
275121,The Peregrine Falcon
275119,The Golden Eagle
275104,Jersey
275092,Arin
275069,Souryuu
275006,The Connector
274995,Angel of Fate
274995,Tail Devourer
274995,Silly Snake
274995,Sufferer
274992,Odori
274961,Schubert
274960,Imo
274959,Hamo
274958,Susuko
274957,Noroman
274934,Nanami
274884,Starfish Man
274883,Slug Man
274879,Mantis Man
274878,Batguy
274877,Snake Man
274877,Julius Zuppoppotamus III
274840,Hakumen no Varre
274830,Toshi
274827,Tecchan
274819,Yuu
274819,Prefect
274819,Herbivore
274819,Little Shrimp
274713,Su-san
274712,Micchan
274711,Hina-chan
274701,Hina-chan
274695,Rising Dragon
274673,The Saintess
274641,Gorimasu
274640,Cool Fool
274639,Gamanjiru de Rais
274591,Rin
274572,Sensei
274560,Hole-san
274555,Professor Rowell
274549,Asujen Baldwin
274522,Kelly
274521,Meat Toilet 
274510,Rat King
274494,Tom-tan
274491,Nukko
274437,The Half-Fool
274437,The Half-Fool
274429,Silver Crown
274403,Grave Robber Helem
274380,Gramps
274379,Master
274379,Boss
274367, Little Sisters
274367,Sisters of Saint Lila's Academy
274366,Little Sisters
274366,Sisters of Saint Lila's Academy
274365,Little Sisters
274365,Sisters of Saint Lila's Academy
274304,Kamayan
274282,Joy
274279,Max
274262,Poison Expert
274262,Mushroom King
274262,The Real Mutated King of Mushrooms
274216,Happying
274213,Gogoping
274212,Dadaping
274170,Liza
274120,Towa
274113,Biron
274112,Milady
274090,Minister Eyinstein
274090,Minister Einstein
274084,Civet Anghern
274083,Pumpkin
274081,God-Shenguai
274081,God of War
274073,Nagi-Nagi
274073,Discount Kuzumi
274073,Discount Pitcher
274064,Lone Dragon Princess
274062,Twin Star of the Demon World
274008,Forget-Me-Not
273977,White Narubi
273961,Yahn
273944,Maxzo
273944,White Rice
273943,Valenmy-Asia
273943,Helo
273942,Sherree
273942,Hien Hoa
273941,Ori
273941,Cassee
273905,Gonfaloniere
273883,Doo-Yeop
273883,King of Yopy Land
273883,Lord of Yopy Land
273883,Leader of the Eastern Alliance
273874,Wangyue Qianxun
273873,Old Bao
273845,Sun God
273842,Shand
273841,Uncle Rock
273840,Sanyuan
273840,Zhang Rongqing
273791,Boss
273784,Long Haotian
273783,Yīng Ye
273782,Jin Yuxian
273781,Gu Xīnghai
273781,Luna Ke
273777,Goddess's Sword 
273766,Press
273726,Goblin Emperor
273720,Founder Nebulis
273715,Pink Hair
273695,Sixten of the Full Moon
273695,Lunar Halo
273694,Adolf of the Icebone Casket
273686,Dragma Knight
273658,Pegasus Mariya
273652,Joe
273590,Madhell Misery
273558,Origumo Majik
273553,Mohawk
273517,Phil
273470,The Foul
273465,Lily
273462,Vince
273462,Big Glasses
273400,Cosmic Detective
273399,Greedy Demon
273398,1st Seat of the Black Scripture
273382,DG
273380,Nana Bucksworth
273361,Chameleon
273354,Grisha
273354,Great Sun God
273354,The Omniscient and Omnipotent
273354,The Lord That Created Everything
273354,The Creator
273344,Zhi Nan
273330,Yellow
273294,Jo
273293,Yuey
273290,Snake-Eyes
273255,Broken Hat
273245,Kurouma
273237,O-Taka
273173,Akihiru
273166,Big Mom's Mother
273165,Big Mom's Father
273163,Blood-Writing
273123,Mehmed V
273119,Leviathan's Captain
273106,Dylan
273105,Alek
273092,Khalid Gabrine
273088,Ishtar
273088,The Morning Star
273084,Count Welton
273084,Count Welton
273076,Tsar
273026,Herabergen
273025,Badheil
273024,Leodero
273023,Lilith
273022,Aucuses
273017,DexDorugoramon
273017,Death-X-mon
273017,Dexmon
272974,Loan Shark
272974,The Black Marketeer
272974,Knight of the Black Dragon
272974,H. Heater
272974,Loan Shark H.
272973,Middle Schooler
272973,Young Master
272973,King Of Dark Land
272973,Son Of God
272972,The Ultimate Healer
272942,Elder
272941,Sala
272937,Puni
272929,Ko Eun-Woo
272929,Space-Time Wizard
272929,Wizard
272929,Bibi Hyung
272929,Bibi-Ya
272893,Mesh
272860,Cray
272856,Vol
272840,Cat Villain
272825,Misuzu Sakamoto
272815,Sagittarius
272815,Sagittarius
272814,Kureha
272808,Blessed Slumber Majik
272808,Joyous Sorrow Majik
272791,Class Rep
272738,Tetsu
272711,Director of Xyrus
272659,Vultor the Buzzard
272646,American Rabbit
272591,The Tentacle King
272549,Chiro-chan
272522,Jizou
272517,Lulu
272494,Riku
272493,Keito
272470,Marchosius
272468,Cloud Retainer
272450,Asagao
272449,Miyaka's Mother
272443,Rainbow-senpai
272443,Rainbow-senpai
272398,Reira
272397,Rio
272396,Shin
272395,Astro
272394,Meisa
272393,Towa
272392,Karina Hoshizora
272391,Eita Hoshizora
272383,Magistus Saint
272383,Lawbook Guardian
272382,Magistus Goddess
272382,Crystal Goddess
272363,Tetsu
272344,Male Xiaohei
272342,President
272330,Yunacchi
272317,Shaketopia
272305,Manticore
272282,Kiki
272281,Mad Sword Empress
272281,The Bloody Berserker
272269,Comp
272267,Moonflower O-Chou
272254,Mother
272254,Mother
272251,Cobalt Police
272250,Sky Police
272249,Mr. Manager
272249,Uncle
272221,Revi
272183,Inspector Meguro
272176,Eupha
272176,Young Priestess
272175,The Adonis
272174,The Hedonist
272173,The Machinist
272172,The Roussainte Lion
272171,The Bounty Queen
272169,Lady Junah
272168,The Black Hound
272145,Bergamino
272119,Scarlet Fist
272119,Princess Burst Yuki
272111,Bear-Man
272091,Alan Jaquis
272089,Rebecca
272035,Soccer Villain
272019,Snake Four
271964,Emma
271952,Take
271950,Hana
271778,Shipping Line President
271775,Gorilla
271750,Beecha
271745,Harmy
271696,Nameless
271686,Haruhisa the Bare-Handed
271685,Souji the Hammer
271684,Rojiya the Manhole
271683,Tetsu the Tank
271679,Yuggs Stiano
271673,The Fire Spirit
271671,Muuku
271626,Yves
271618,Victimothy Crucifixio
271615,Sawyer Wayback
271611,Kellam
271597,Peekatha Krotch
271592,Reiran
271473,Visionary
271462,Lucas
271417,Ironclad
271416,Elsa
271393,Danjo
271387,Explosive Jo
271361,The Witch
271360,The Bomber
271302,JJ
271263,Spy
271183,
271176,Vampire Prostitute
271176,Vampire Lady
271162,Chiho
271054,Hakurei Shrine Maiden
271054,Hakurei Miko
271054,Reimu's ancestor
271054,Hakurei Shrine Maiden
271054,Hakurei Miko
271054,Reimu's ancestor
271036,Astelle Izar
270997,Popcorn Wizard
270983,Pandora
270983,Lili
270979,Ryo
270977,Sword Demon
270962,Nenek Si
270957,Hana
270950,Kurukuru-chan
270947,Gothitelle
270932,Exorcist Warrior
270916,Icy
270905,Chou-u
270875,Chikori
270859,Gaula
270853,Glen
270811,Baggaly
270803,Noinoi
270799,Dumas Fayes
270796,Dumas Regal IX
270794,Agushily
270786,Ernion
