mal_id,watching,completed,on_hold,dropped,plan_to_watch,total,score_1_votes,score_1_percentage,score_2_votes,score_2_percentage,score_3_votes,score_3_percentage,score_4_votes,score_4_percentage,score_5_votes,score_5_percentage,score_6_votes,score_6_percentage,score_7_votes,score_7_percentage,score_8_votes,score_8_percentage,score_9_votes,score_9_percentage,score_10_votes,score_10_percentage
55145,1060,966,268,179,1069,3542,28.0,2.4,14.0,1.2,19.0,1.6,46.0,4.0,124.0,10.7,215.0,18.5,311.0,26.8,168.0,14.5,109.0,9.4,127.0,10.9
5733,201,870,129,194,1051,2445,89.0,15.9,41.0,7.3,58.0,10.3,76.0,13.5,89.0,15.9,75.0,13.4,56.0,10.0,23.0,4.1,20.0,3.6,34.0,6.1
470,1953,14891,1035,1637,11178,30694,221.0,1.9,277.0,2.4,382.0,3.3,807.0,7.0,1685.0,14.6,2577.0,22.4,2742.0,23.8,1468.0,12.7,840.0,7.3,519.0,4.5
614,641,4168,430,549,5559,11347,63.0,1.9,54.0,1.6,99.0,3.0,223.0,6.7,451.0,13.6,636.0,19.2,730.0,22.0,488.0,14.7,352.0,10.6,216.0,6.5
2957,250,1772,158,185,968,3333,44.0,3.7,56.0,4.7,62.0,5.2,127.0,10.7,209.0,17.6,246.0,20.7,214.0,18.0,118.0,9.9,49.0,4.1,63.0,5.3
13379,528,2383,312,248,1396,4867,58.0,3.5,29.0,1.8,68.0,4.1,126.0,7.7,265.0,16.1,390.0,23.7,337.0,20.5,173.0,10.5,82.0,5.0,115.0,7.0
21751,1639,9512,640,544,3108,15443,101.0,1.5,69.0,1.1,132.0,2.0,256.0,3.9,601.0,9.2,1104.0,16.9,1573.0,24.1,1138.0,17.4,660.0,10.1,901.0,13.8
22275,61,280,34,80,554,1009,20.0,10.5,12.0,6.3,14.0,7.4,18.0,9.5,38.0,20.0,30.0,15.8,21.0,11.1,8.0,4.2,6.0,3.2,23.0,12.1
41114,48,135,7,47,105,342,6.0,7.1,4.0,4.8,5.0,6.0,9.0,10.7,16.0,19.0,18.0,21.4,11.0,13.1,3.0,3.6,0.0,0.0,12.0,14.3
9204,813,11915,236,307,9105,22376,53.0,0.6,22.0,0.2,27.0,0.3,63.0,0.7,217.0,2.3,565.0,6.1,1823.0,19.7,2890.0,31.2,2195.0,23.7,1394.0,15.1
